user_second_field	No OdM	Brak zlecenia pracy	No WO	Нет ордера	
not_available	Non disponibile	Niedostępny	Unavailable	Недоступно	
select_all_button	Seleziona tutto	Zaznacz wszystko	Select all	Выбрать всё	
deselect_all_button	Deseleziona tutto	Odwołaj wybory	Deselect all	Отменить выбор всего	
required_information	* indica un campo obbligatorio	* Wymagane pole	* Required field	Требуемое поле	
filters_button	Filtri	Filtry	Filters	Фильтры	
back_button	Indietro	Powrót	Back	Назад	
cancel_button	Annulla	Anuluj	Cancel	Отмена	
done_button	Fine	Koniec	End	Далее	
offline_connectivity	Offline	Offline	Offline	Офлайн	
attention_title	Attenzione	Uwaga	Attention	ВНИМАНИЕ	
connection_unavailable	Connessione non disponibile	Połączenie niedostępne	Connection not available	Подключение не доступно	
no_element	Nessun elemento disponibile	Brak dostępnych pozycji	No items available	Нет доступных позиций	
attachments_upload_success	Gli allegati sono stati caricati con successo!	Załączniki zostały pomyślnie przesłane!	The attachments have been successfully uploaded!	Файлы успешно загружены	
software_version	Vers. %@	Wersja %@	Vers. %@	Версия %@	
json_decode_failure	Decodifica del json fallita!	Failed to decode JSON!	Failed to decode JSON!	Failed to decode JSON!	
barcode_scanner_error	Impossibile ottenere un risultato dalla scansione	Nie można uzyskać wyniku skanowania	Unable to get a result from scan	Ошибка. Невозможно получить результат сканирования	
barcode_scanner_camera_error	Impossibile accedere alla fotocamera	Brak dostępu do kamery	Unable to access camera	Невозможно получить доступ к камере	
barcode_scanner_flash_error	Impossibile accedere al flash	Brak dostępu do pamięci flash	Unable to access the barcode scanner	Невозможно получить доступ к вспышке	
user_info_loading_failure	Le tue informazioni non sono state caricate correttamente	Informacje nie zostały poprawnie przesłane	Your information has not been uploaded correctly	Ваша информация была загружена некорректно	
unavailable_data_service	Si è verificato un errore	Wystąpił błąd	An error has occurred	Произошла ошибка	
offline_odata_store_error	Errore durante la creazione dell'offline store	Błąd podczas tworzenia zapasu offline	Error while creating the offline store	Ошибка. Невозможно создать в режиме офлайн	
